model_profile,model_quantization,case_id,assertion,expected_json,observed_json,passed,raw_path
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,scope_preserved,"{""entity_ids"":[""P42"",""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[""telemetry/patch-P42-summary.log""],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}","{""entity_ids"":[""P42"",""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[""telemetry/patch-P42-summary.log""],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,scope_delta_preserved,"{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}","{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,index_snapshot_preserved,"""sim-index-v1""","""sim-index-v1""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,boundary_reason,"""strict_support_predicate_failed""","""strict_support_predicate_failed""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q02-win-rate-cause,recovery_action,"""refine_query""","""refine_query""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,outcome,"""supported""","""synthesis_unavailable""",0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,failure_owner,"""none""","""synthesis""",0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,query_id_preserved,"""0198f4d0-0003-7000-8000-000000000003""","""0198f4d0-0003-7000-8000-000000000003""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,correlation_id_preserved,"""0198f4d0-1003-7000-8000-000000000003""","""0198f4d0-1003-7000-8000-000000000003""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,minimum_evidence_count,3,3,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,required_top_five,"[""E004"",""E005"",""E006""]","[""E004"",""E006"",""E005""]",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,expected_rank_one,null,"""E004""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,forbidden_values_absent,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,required_finding_values_present,"[""gpu"",""texture""]",[],0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,scope_preserved,"{""entity_ids"":[""Incident184""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}","{""entity_ids"":[""Incident184""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,scope_delta_preserved,"{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}","{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,index_snapshot_preserved,"""sim-index-v1""","""sim-index-v1""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,boundary_reason,null,"""synthesis_timeout""",0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q03-incident-root-cause,recovery_action,"""inspect_claim_traces""","""open_raw_evidence""",0,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,outcome,"""no_hits""","""no_hits""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,failure_owner,"""none""","""none""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,query_id_preserved,"""0198f4d0-0004-7000-8000-000000000004""","""0198f4d0-0004-7000-8000-000000000004""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,correlation_id_preserved,"""0198f4d0-1004-7000-8000-000000000004""","""0198f4d0-1004-7000-8000-000000000004""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,minimum_evidence_count,0,0,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,required_top_five,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,expected_rank_one,null,null,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,forbidden_values_absent,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,required_finding_values_present,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,scope_preserved,"{""entity_ids"":[""CobaltRod"",""FishingBoss""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}","{""entity_ids"":[""CobaltRod"",""FishingBoss""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,scope_delta_preserved,"{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}","{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,index_snapshot_preserved,"""sim-index-v1""","""sim-index-v1""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,boundary_reason,"""no_indexed_match""","""no_indexed_match""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q04-no-hits,recovery_action,"""broaden_scope""","""broaden_scope""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,outcome,"""retrieval_unavailable""","""retrieval_unavailable""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,failure_owner,"""retrieval""","""retrieval""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,query_id_preserved,"""0198f4d0-0005-7000-8000-000000000005""","""0198f4d0-0005-7000-8000-000000000005""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,correlation_id_preserved,"""0198f4d0-1005-7000-8000-000000000005""","""0198f4d0-1005-7000-8000-000000000005""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,minimum_evidence_count,0,0,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,required_top_five,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,expected_rank_one,null,null,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,forbidden_values_absent,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,required_finding_values_present,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,scope_preserved,"{""entity_ids"":[""P42"",""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}","{""entity_ids"":[""P42"",""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,scope_delta_preserved,"{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}","{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,index_snapshot_preserved,"""sim-index-v1""","""sim-index-v1""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,boundary_reason,"""retrieval_503""","""retrieval_503""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q05-retrieval-unavailable,recovery_action,"""retry_retrieval""","""retry_retrieval""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,outcome,"""synthesis_unavailable""","""synthesis_unavailable""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,failure_owner,"""synthesis""","""synthesis""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,query_id_preserved,"""0198f4d0-0006-7000-8000-000000000006""","""0198f4d0-0006-7000-8000-000000000006""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,correlation_id_preserved,"""0198f4d0-1006-7000-8000-000000000006""","""0198f4d0-1006-7000-8000-000000000006""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,minimum_evidence_count,2,3,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,required_top_five,"[""E001"",""E003""]","[""E001"",""E002"",""E003""]",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,expected_rank_one,"""E001""","""E001""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,forbidden_values_absent,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,required_finding_values_present,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,scope_preserved,"{""entity_ids"":[""P42"",""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}","{""entity_ids"":[""P42"",""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-08T12:00:00Z""}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,scope_delta_preserved,"{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}","{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-08T12:00:00Z"",""time_to_before"":""2026-08-08T12:00:00Z"",""time_to_changed"":false}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,index_snapshot_preserved,"""sim-index-v1""","""sim-index-v1""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,boundary_reason,"""synthesis_503""","""synthesis_503""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q06-synthesis-unavailable,recovery_action,"""open_raw_evidence""","""open_raw_evidence""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,outcome,"""stale_index""","""stale_index""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,failure_owner,"""retrieval""","""retrieval""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,query_id_preserved,"""0198f4d0-0007-7000-8000-000000000007""","""0198f4d0-0007-7000-8000-000000000007""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,correlation_id_preserved,"""0198f4d0-1007-7000-8000-000000000007""","""0198f4d0-1007-7000-8000-000000000007""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,minimum_evidence_count,0,3,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,required_top_five,[],"[""E001"",""E003"",""E002""]",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,expected_rank_one,null,"""E001""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,forbidden_values_absent,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,required_finding_values_present,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,scope_preserved,"{""entity_ids"":[""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-09T12:00:00Z""}","{""entity_ids"":[""Scout""],""index_snapshot_id"":""sim-index-v1"",""project_ids"":[""Alpha""],""source_ids"":[],""time_from"":null,""time_to"":""2026-08-09T12:00:00Z""}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,scope_delta_preserved,"{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-09T12:00:00Z"",""time_to_before"":""2026-08-09T12:00:00Z"",""time_to_changed"":false}","{""changed"":false,""entity_added"":[],""entity_removed"":[],""sources_added"":[],""sources_removed"":[],""time_from_after"":null,""time_from_before"":null,""time_from_changed"":false,""time_to_after"":""2026-08-09T12:00:00Z"",""time_to_before"":""2026-08-09T12:00:00Z"",""time_to_changed"":false}",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,index_snapshot_preserved,"""sim-index-v1""","""sim-index-v1""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,boundary_reason,"""requested_coverage_exceeds_snapshot""","""requested_coverage_exceeds_snapshot""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q07-newest-playtest,recovery_action,"""refresh_archive""","""refresh_archive""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,outcome,"""weak_support""","""weak_support""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,failure_owner,"""none""","""none""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,query_id_preserved,"""0198f4d0-0008-7000-8000-000000000008""","""0198f4d0-0008-7000-8000-000000000008""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,correlation_id_preserved,"""0198f4d0-1008-7000-8000-000000000008""","""0198f4d0-1008-7000-8000-000000000008""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,minimum_evidence_count,1,1,1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,required_top_five,"[""E009""]","[""E009""]",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,expected_rank_one,"""E009""","""E009""",1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,forbidden_values_absent,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
qwen2.5:0.5b,Q4_K_M,Q08-log-injection,required_finding_values_present,[],[],1,_workspace/current/qa/evidence/stage-1/fixture-run-qwen0_5b-schema/results.json
